은평구,"강북구,구로구","금천구,송파구",무
금천구,"구로구,영등포구","은평구,송파구,도봉구",무
송파구,"영등포구,은평구","도봉구,성동구,중구",무
도봉구,"금천구,송파구","성동구,중구,용산구",무
성동구,"금천구,송파구,도봉구","중구,용산구,중랑구",무
중구,"송파구,도봉구,성동구","용산구,중랑구,성북구",무
용산구,"도봉구,성동구,중구","중랑구,성북구,서초구",무
중랑구,"성동구,중구,용산구","성북구,서초구,양천구",무
성북구,"중구,용산구,중랑구","서초구,양천구,강동구",무
서초구,"용산구,중랑구,성북구","양천구,강동구,강서구",무
양천구,"중랑구,성북구,서초구","강동구,강서구,광진구",무
강동구,"성북구,서초구,양천구","강서구,광진구,마포구",무
강서구,"서초구,양천구,강동구","광진구,마포구,종로구",무
광진구,"양천구,강동구,강서구","마포구,종로구,동대문구",무
마포구,"강동구,강서구,광진구","종로구,동대문구,서대문구",무
종로구,"강서구,광진구,마포구","동대문구,서대문구,노원구",무
동대문구,"광진구,마포구,종로구","서대문구,노원구,관악구",무
서대문구,"마포구,종로구,동대문구","노원구,관악구,강남구",무
노원구,"종로구,동대문구,서대문구","관악구,강남구,동작구",무
강북구,nothing,"구로구, 영등포구, 은평구",무
구로구,강북구,"영등포구, 은평구, 금천구",무
영등포구,"강북구, 구로구","은평구, 금천구, 송파구",무
관악구,"동대문구, 서대문구, 노원구","강남구, 동작구",무
강남구,"서대문구, 노원구, 관악구",동작구,무
동작구,"노원구, 관악구, 강남구",nothing,무
도봉구,"송파구,성동구","영등포구,용산구,중랑구",배추
영등포구,"금천구,도봉구","용산구,중랑구,서초구",배추
용산구,"금천구,도봉구,영등포구","중랑구,서초구,성북구",배추
중랑구,"도봉구,영등포구,용산구","서초구,성북구,광진구",배추
서초구,"영등포구,용산구,중랑구","성북구,광진구,구로구",배추
성북구,"용산구,중랑구,서초구","광진구,구로구,마포구",배추
광진구,"중랑구,서초구,성북구","구로구,마포구,양천구",배추
구로구,"서초구,성북구,광진구","마포구,양천구,은평구",배추
마포구,"성북구,광진구,구로구","양천구,은평구,강서구",배추
양천구,"광진구,구로구,마포구","은평구,강서구,강동구",배추
은평구,"구로구,마포구,양천구","강서구,강동구,중구",배추
강서구,"마포구,양천구,은평구","강동구,중구,동대문구",배추
강동구,"양천구,은평구,강서구","중구,동대문구,강북구",배추
중구,"은평구,강서구,강동구","동대문구,강북구,노원구",배추
동대문구,"강서구,강동구,중구","강북구,노원구,서대문구",배추
강북구,"강동구,중구,동대문구","노원구,서대문구,동작구",배추
노원구,"중구,동대문구,강북구","서대문구,동작구,강남구",배추
서대문구,"동대문구,강북구,노원구","동작구,강남구,관악구",배추
동작구,"강북구,노원구,서대문구","강남구,관악구,종로구",배추
송파구,nothing,"성동구, 금천구, 도봉구",배추
성동구,송파구,"금천구, 도봉구, 영등포구",배추
금천구,"송파구, 성동구","도봉구, 영등포구, 용산구",배추
강남구,"노원구, 서대문구, 동작구","관악구, 종로구",배추
관악구,"서대문구, 동작구, 강남구",종로구,배추
종로구,"동작구, 강남구, 관악구",nothing,배추
성북구,"구로구,동대문구,도봉구","중랑구,용산구,서초구",양파
중랑구,"동대문구,도봉구,성북구","용산구,서초구,은평구",양파
용산구,"도봉구,성북구,중랑구","서초구,은평구,중구",양파
서초구,"성북구,중랑구,용산구","은평구,중구,강서구",양파
은평구,"중랑구,용산구,서초구","중구,강서구,성동구",양파
중구,"용산구,서초구,은평구","강서구,성동구,양천구",양파
강서구,"서초구,은평구,중구","성동구,양천구,강북구",양파
성동구,"은평구,중구,강서구","양천구,강북구,마포구",양파
양천구,"중구,강서구,성동구","강북구,마포구,노원구",양파
강북구,"강서구,성동구,양천구","마포구,노원구,강동구",양파
마포구,"성동구,양천구,강북구","노원구,강동구,송파구",양파
노원구,"양천구,강북구,마포구","강동구,송파구,서대문구",양파
강동구,"강북구,마포구,노원구","송파구,서대문구,광진구",양파
송파구,"마포구,노원구,강동구","서대문구,광진구,영등포구",양파
서대문구,"노원구,강동구,송파구","광진구,영등포구,금천구",양파
광진구,"강동구,송파구,서대문구","영등포구,금천구,동작구",양파
